Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N
Lausanne 25;1000;25;Lausanne;5586;VD;6.683;46.562
Lausanne 26;1000;26;Lausanne;5586;VD;6.696;46.556
Lausanne 27;1000;27;Lausanne;5586;VD;6.681;46.542
Lausanne;1003;0;Lausanne;5586;VD;6.630;46.520
Lausanne;1004;0;Lausanne;5586;VD;6.619;46.528
Lausanne;1005;0;Lausanne;5586;VD;6.643;46.520
Lausanne;1006;0;Lausanne;5586;VD;6.637;46.486
Lausanne;1007;0;Lausanne;5586;VD;6.636;46.523
Prilly;1008;0;Prilly;5589;VD;6.608;46.534
Jouxtens-Mézery;1008;2;Jouxtens-Mézery;5585;VD;6.598;46.553
Pully;1009;0;Pully;5590;VD;6.662;46.509
Lausanne;1010;0;Lausanne;5586;VD;6.659;46.536
Lausanne;1011;0;Lausanne;5586;VD;6.643;46.526
Lausanne;1012;0;Lausanne;5586;VD;6.657;46.526
Lausanne;1015;0;Lausanne;5586;9758;VD;6.583;46.517
Lausanne;1018;0;Lausanne;5586;VD;6.629;46.539
Renens VD;1020;0;Renens (VD);5591;VD;6.591;46.537
Chavannes-près-Renens;1022;0;Chavannes-près-Renens;5627;VD;6.576;46.536
Crissier;1023;0;Crissier;5583;VD;6.579;46.556
Ecublens VD;1024;0;Ecublens (VD);5635;VD;6.562;46.526
St-Sulpice VD;1025;0;Saint-Sulpice (VD);5648;VD;6.560;46.509
Denges;1026;2;Denges;5632;VD;6.539;46.523
Echandens;1026;3;Echandens;5633;VD;6.542;46.533
Lonay;1027;0;Lonay;5638;VD;6.521;46.526
Préverenges;1028;0;Préverenges;5643;VD;6.527;46.518
Villars-Ste-Croix;1029;0;Villars-Sainte-Croix;5651;VD;6.561;46.566
Bussigny;1030;0;Bussigny;5624;VD;6.551;46.553
Mex VD;1031;0;Mex (VD);5489;VD;6.552;46.577
Romanel-sur-Lausanne;1032;0;Romanel-sur-Lausanne;5592;VD;6.606;46.563
Cheseaux-sur-Lausanne;1033;0;Cheseaux-sur-Lausanne;5582;VD;6.605;46.585
Boussens;1034;0;Boussens;5473;VD;6.583;46.604
Bournens;1035;0;Bournens;5472;VD;6.564;46.604
Sullens;1036;0;Sullens;5501;VD;6.567;46.594
Etagnières;1037;0;Etagnières;5521;VD;6.612;46.600
Bercher;1038;0;Bercher;5512;VD;6.709;46.692
Echallens;1040;0;Echallens;5518;VD;6.634;46.641
Villars-le-Terroir;1040;2;Villars-le-Terroir;5537;VD;6.639;46.658
St-Barthélemy VD;1040;3;Saint-Barthélemy (VD);5535;VD;6.595;46.634
Dommartin;1041;21;Montilliez;5540;VD;6.703;46.650
Montaubion-Chardonney;1041;22;Jorat-Menthue;5804;VD;6.714;46.647
Naz;1041;26;Montilliez;5540;VD;6.695;46.658
Poliez-le-Grand;1041;31;Montilliez;5540;VD;6.664;46.639
Poliez-Pittet;1041;32;Poliez-Pittet;5533;VD;6.683;46.628
Bottens;1041;33;Bottens;5514;VD;6.659;46.621
Assens;1042;0;Assens;5511;VD;6.623;46.613
Bioley-Orjulaz;1042;3;Bioley-Orjulaz;5513;VD;6.597;46.622
Bettens;1042;4;Bettens;5471;VD;6.577;46.626
Sugnens;1043;0;Montilliez;5540;VD;6.671;46.655
Fey;1044;0;Fey;5522;VD;6.681;46.676
Ogens;1045;0;Ogens;5680;VD;6.722;46.711
Rueyres;1046;0;Rueyres;5534;VD;6.692;46.693
Oppens;1047;0;Oppens;5923;VD;6.692;46.714
Le Mont-sur-Lausanne;1052;0;Le Mont-sur-Lausanne;5587;VD;6.636;46.557
Cugy VD;1053;0;Cugy (VD);5516;VD;6.641;46.584
Bretigny-sur-Morrens;1053;2;Bretigny-sur-Morrens;5515;VD;6.643;46.598
Morrens VD;1054;0;Morrens (VD);5527;VD;6.627;46.591
Froideville;1055;0;Froideville;5523;VD;6.681;46.602
Villars-Tiercelin;1058;0;Jorat-Menthue;5804;VD;6.704;46.627
Peney-le-Jorat;1059;0;Jorat-Menthue;5804;VD;6.728;46.634
Villars-Mendraz;1061;0;Jorat-Menthue;5804;VD;6.729;46.647
Sottens;1062;0;Jorat-Menthue;5804;VD;6.742;46.655
Chapelle-sur-Moudon;1063;0;Montanaire;5693;VD;6.735;46.670
Martherenges;1063;2;Montanaire;5693;VD;6.753;46.661
Boulens;1063;3;Boulens;5661;VD;6.719;46.682
Peyres-Possens;1063;4;Montanaire;5693;VD;6.707;46.663
Epalinges;1066;0;Epalinges;5584;VD;6.674;46.546
Les Monts-de-Pully;1068;0;Pully;5590;VD;6.683;46.534
Puidoux;1070;0;Puidoux;5607;VD;6.766;46.494
Chexbres;1071;0;Chexbres;5601;VD;6.778;46.482
Rivaz;1071;1;Rivaz;5609;VD;6.779;46.476
St-Saphorin (Lavaux);1071;2;Saint-Saphorin (Lavaux);5610;VD;6.796;46.473
Forel (Lavaux);1072;0;Forel (Lavaux);5604;VD;6.770;46.541
Savigny;1073;0;Savigny;5611;VD;6.733;46.538
Mollie-Margot;1073;2;Savigny;5611;VD;6.750;46.557
Ferlens VD;1076;0;Jorat-Mézières;5806;VD;6.786;46.589
Servion;1077;0;Servion;5799;VD;6.785;46.578
Essertes;1078;0;Essertes;5788;VD;6.789;46.562
Les Cullayes;1080;0;Servion;5799;VD;6.751;46.573
Montpreveyres;1081;0;Montpreveyres;5792;VD;6.748;46.584
Corcelles-le-Jorat;1082;0;Corcelles-le-Jorat;5785;VD;6.742;46.606
Mézières VD;1083;0;Jorat-Mézières;5806;VD;6.771;46.595
Carrouge VD;1084;0;Jorat-Mézières;5806;VD;6.775;46.605
Vulliens;1085;0;Vulliens;5803;VD;6.797;46.622
