"Die Raumgliederungen der Schweiz
Les niveaux géographiques de la Suisse",,,,,,,,,,,,,"Gemeindestand 01.01.2017
État des communes - 01.01.2017

© OFS /BFS /UST 2017",,,,,,,,,,,,
"Gemeinden
Communes",,"Raumgliederungen
Les niveaux géographiques",,,,,,,,,,,,,,,,,,,,,,,
,,"Institutionelle Gliederungen

Les collectivités institutionnelles",,"Regionen der Raumentwicklungspolitik

Les espaces de la politique territoriale",,,"Analyseregionen


Les régions d'analyse",,,,,,"Räumliche Typologien


Les typologies territoriales",,,,,,,,,,,,
BFS Nr.,Gemeindename,Kanton,Bezirk,Raumplanungs-regionen,Europäsiche Berggebietsregionen (2),Anwendungsgebiete für Steuerer-leichterungen 2016,Grossregionen,Sprachgebiete 2016,MS-Regionen (2),Arbeitsmarktregionen 2000 (2), Metropolräume 2000 (2),Touris-mus Regionen 2017,Agglomerationen und Kerne ausserhalb Agglomerationen 2012,Gemeinde-Grössenklasse 2015,Städtische / Ländliche Gebiete 2000 (1),Raum mit städtischem Charakter 2012,Agglomerationsgrössenklasse 2012,Städte 2012,DEGURBA 2011 eurostat,"Gemeinde-typen
(22 Typen) 2000 (1)",Gemeinde-typen (9 Typen) 2000 (1),Typologie der MS-Regionen 2000 (2),"Gemeindetypologie 2012
(9 Typen)","Gemeindetypologie 2012
(25 Typen)",Stadt/Land-Typologie 2012
"N° 
OFS",Nom de la commune,Canton,District,Régions d'aménagement du territoire,"Régions 
de montagne 
européennes (2)",Zones d’application en matière d’allégements fiscaux 2016,Grandes régions de la Suisse,Régions linguistiques 2016,Régions MS (2),Bassins d'emploi 2000 (2),Aires métropo-litaines 2000 (2),Régions touristiques 2017,Agglomérations et centres hors agglomérations 2012,Taille des communes par classe 2015,Régions urbaines / rurales 2000 (1),Espace à caractère urbain 2012,Taille des agglomé-rations par classe 2012,Villes 2012,DEGURBA 2011 eurostat,Types de communes 2000 (22 types) (1),Types de communes 2000 (9 types) (1),Typologie des régions MS 2000 (2),Typologie des communes 2012 (9 types),Typologie des communes 2012 (25 types),Typologie urbain-rural 2012
,Bemerkungen,"(1) Diese Raumgliederungen beziehen sich grossteils auf Daten der Volkszählung 2000 und werden nach dem Gemeindestand vom 1.1.2019 nicht mehr weitergeführt.
(2) Die Notwendigkeit und die Priorität einer Revision dieser Raumgliederungen ist in Überprüfung. In jedem Fall werden die Gemeindestände bis 1.1.2019 nachgeführt.",,,,,,,,,,,,,,,,,,,,,,,
,Remarques,"(1) Ces niveaux géographiques se basent essentiellement sur les données du recensement 2000 et ne seront plus adaptés au-delà de l'état des communes au 1.1.2019.
(2) La nécessité et la priorité d'une révision de ces niveaux géographiques est en examen. Dans tous les cas, le suivi des mutations des communes sera assuré jusqu'à l'état au 1.1.2019.",,,,,,,,,,,,,,,,,,,,,,,
1,Aeugst am Albis,1,101,105,1,0,4,1,4,10,1,3,261,7,2,4,1,0,3,11,4,3,23,237,3
2,Affoltern am Albis,1,101,105,1,0,4,1,4,10,1,3,261,4,2,3,1,1,2,9,2,3,11,112,1
3,Bonstetten,1,101,105,1,0,4,1,4,10,1,3,261,5,2,4,1,0,2,11,4,3,22,227,2
4,Hausen am Albis,1,101,105,1,0,4,1,4,10,0,3,261,6,4,4,1,0,3,15,7,3,22,227,2
5,Hedingen,1,101,105,1,0,4,1,4,10,1,3,261,6,2,3,1,0,2,11,4,3,11,113,1
6,Kappel am Albis,1,101,105,1,0,4,1,4,10,0,3,0,7,4,5,0,0,3,16,7,3,23,237,3
7,Knonau,1,101,105,1,0,4,1,4,10,1,3,1711,6,2,4,3,0,3,11,4,3,22,227,2
8,Maschwanden,1,101,105,1,0,4,1,4,10,0,3,261,8,4,4,1,0,3,16,7,3,23,235,3
9,Mettmenstetten,1,101,105,1,0,4,1,4,10,1,3,261,6,2,4,1,0,3,11,4,3,22,226,2
10,Obfelden,1,101,105,1,0,4,1,4,10,1,3,261,5,2,4,1,0,2,11,4,3,22,227,2
11,Ottenbach,1,101,105,1,0,4,1,4,10,1,3,261,6,2,4,1,0,2,11,4,3,22,226,2
12,Rifferswil,1,101,105,1,0,4,1,4,10,0,3,261,7,4,4,1,0,3,15,7,3,23,236,3
13,Stallikon,1,101,105,1,0,4,1,4,10,1,3,261,6,2,4,1,0,2,5,3,3,21,217,2
14,Wettswil am Albis,1,101,105,1,0,4,1,4,10,1,3,261,6,2,4,1,0,2,11,4,3,21,217,2
21,Adlikon,1,102,110,0,0,4,1,9,11,0,3,0,8,4,5,0,0,3,16,7,3,23,237,3
22,Benken (ZH),1,102,110,0,0,4,1,9,11,0,3,0,8,4,5,0,0,3,16,7,3,23,235,3
